"word","pinyin","pinyinf","category","meaning"
"按－来－","an4 lai2","àn lái ","構文","~によると"
"熬夜","ao2 ye4","áo yè","成語","徹夜する"
"懊恼","ao4 nao3","ào nǎo","形容詞","くよくよ悩む"
"巴不得","ba1 bu de","bā bu de","動詞","強く望む、切望する"
"吧嗒","ba1 da1","bā dā","擬音","バタン(ものがぶつかる音、大きな足音)"
"把握","ba3 wo4","bǎ wò","動詞","把握する"
"霸","ba4","bà","名詞","覇者"
"白头雕","bai2 tou2 diao1","bái tóu diāo","名詞","ハクトウワシ"
"摆脱","bai3 tuo1","bǎi tuō","動詞","(悪い状態から)抜け出す、抜け出る"
"搬运工","ban1 yun4 gong1","bān yùn gōng","名詞","運送する人、運搬する人"
"板蓝根","ban3 lan2 gen1","bǎn lán gēn","名詞","(中薬)板藍根"
"半夜","ban4 ye4","bàn yè","名詞","真夜中"
"帮","bang1","bāng","量詞","一群の"
"包括","bao1 kuo4","bāo kuò","動詞","含む、含める、包括する"
"包装","bao1 zhuang1","bāo zhuāng","名詞","包装、包装する(動詞)"
"褒贬","bao1 bian3","bāo biǎn","動詞","褒めたりけなしたりする"
"宝贝","bao3 bei4","bǎo bèi","名詞","愛する人、価値のあるモノ"
"保持","bao3 chi2","bǎo chí","動詞","保つ、持続させる"
"保留","bao3 liu2","bǎo liú","動詞","(元の姿を)保つ、保存する、保留する"
"保姆","bao3 mu3","bǎo mǔ","名詞","お手伝いさん"
"保守","bao3 shou3","bǎo shǒu","形容詞","保守的である、控えめである"
"抱怨","bao4 yuan4","bào yuàn","動詞","不満を抱く、不平を言う"
"背景","bei4 jing3","bèi jǐng","名詞","背景"
"被迫","bei4 po4","bèi pò","動詞","～を迫られる、～を余儀なくされる"
"本分","ben3 fen4","běn fèn","形容詞","本分をわきまえている"
"本能","ben3 neng2","běn néng","名詞","本能"
"本质","ben3 zhi4","běn zhì","名詞","本質"
"逼","bi1","bī","動詞","近づく、強いる、取り立てる"
"比比皆是","bi3 bi3 jie1 shi4","bǐ  bǐ  jiē shì","成語","どこからも見える"
"比丘尼","bi3 qiu1 ni2","bǐ qiū ní","名詞","尼さん"
"比萨饼","bi3 sa4 bing3","bǐ sà bǐ ng","名詞","ピザ"
"彼此","bi3 ci3","bǐ cǐ","代詞","双方、相互、お互い様"
